Entry Time,Exit Time,Entry Price,Exit Price,direction,Signal Type,Exit Reason,PnL %,Direction
2025-02-05 02:20:00,2025-02-05 02:30:00,0.26113,0.263610735,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000045,LONG
2025-02-05 02:45:00,2025-02-05 03:10:00,0.2656,0.26476,-1,MeanRev_Short,5-Bar Time Stop,0.2562650602409666,SHORT
2025-02-05 05:50:00,2025-02-05 06:15:00,0.26667,0.26659,-1,MeanRev_Short,5-Bar Time Stop,-0.030000374995303367,SHORT
2025-02-05 06:35:00,2025-02-05 07:00:00,0.26413,0.26396,1,MeanRev_Long,5-Bar Time Stop,-0.1243622458637805,LONG
2025-02-05 13:45:00,2025-02-05 14:05:00,0.26845,0.2672002,-1,MeanRev_Short,Trailing Stop,0.40556155708698943,SHORT
2025-02-05 20:05:00,2025-02-05 20:20:00,0.26057,0.25942782,-1,MeanRev_Short,Trailing Stop,0.3783390259815205,SHORT
2025-02-06 00:00:00,2025-02-06 00:25:00,0.25804,0.25757,-1,MeanRev_Short,5-Bar Time Stop,0.12214230351882283,SHORT
2025-02-06 04:15:00,2025-02-06 04:40:00,0.26157,0.26132,-1,MeanRev_Short,5-Bar Time Stop,0.03557670986735022,SHORT
2025-02-06 05:35:00,2025-02-06 05:50:00,0.26261,0.26236,-1,MeanRev_Short,Stall Filter (Bar 3),0.035198202657944475,SHORT
2025-02-06 06:15:00,2025-02-06 06:40:00,0.26386,0.26512,-1,MeanRev_Short,5-Bar Time Stop,-0.5375259607367691,SHORT
2025-02-06 12:15:00,2025-02-06 12:30:00,0.26088,0.25879296,1,MeanRev_Long,Stop Loss,-0.8599999999999941,LONG
2025-02-06 20:55:00,2025-02-06 21:15:00,0.25045,0.2479455,-1,MeanRev_Short,TP2 Hit (Runner),0.9399999999999971,SHORT
2025-02-07 00:00:00,2025-02-07 00:15:00,0.24977,0.24969,-1,MeanRev_Short,Stall Filter (Bar 3),-0.027970532890260337,SHORT
2025-02-07 00:20:00,2025-02-07 00:40:00,0.25134,0.249403545,-1,MeanRev_Short,Trailing Stop,0.710452375268562,SHORT
2025-02-07 01:50:00,2025-02-07 02:05:00,0.25413,0.25316531999999997,-1,MeanRev_Short,Trailing Stop,0.3196009916184831,SHORT
2025-02-07 06:15:00,2025-02-07 06:25:00,0.25009,0.24883954999999996,1,MeanRev_Long,Stop Loss,-0.5600000000000056,LONG
2025-02-07 06:30:00,2025-02-07 06:55:00,0.24724,0.24819,1,MeanRev_Long,5-Bar Time Stop,0.32424203203365415,LONG
2025-02-07 07:15:00,2025-02-07 07:35:00,0.25164,0.25011461,-1,MeanRev_Short,Trailing Stop,0.5461794627245112,SHORT
2025-02-07 07:55:00,2025-02-07 08:20:00,0.24883,0.24872,1,MeanRev_Long,5-Bar Time Stop,-0.10420688823694851,LONG
2025-02-07 11:05:00,2025-02-07 11:30:00,0.25473,0.2538,-1,MeanRev_Short,5-Bar Time Stop,0.3050924508302856,SHORT
